Time_s,Speed_kmh,WheelDemand_kW,MotorDC_kW,Auxiliary_kW,Battery1SOE_pct,Battery2SOE_pct,Genset_kW,RegenAvailable_kW,RegenToAuxiliary_kW,RegenToActiveBattery_kW,ResistorLoadBank_kW,ActiveBattery,Mode,BalanceResidual_kW
4060,36.3,9.00195934501465,9.6264536470642,9.0595041322314,68.1988380533177,86.9602676767747,123.181818181818,0,0,0,0,1,3,-1.06581410364015e-14
4070,36.3,39.1516404257685,41.867713163347,9.0595041322314,68.1486214425848,87.1251944444516,123.181818181818,0,0,0,0,1,3,7.105427357601e-15
4080,31.62,-183.890722722637,-159.277785353134,9.0595041322314,68.1154950301164,87.2901212121284,123.181818181818,159.277785353134,9.0595041322314,150.218281220902,0,1,6,0
4090,3.6,18.5491865825679,19.836002139548,9.0595041322314,68.1912841044174,87.4550479798052,123.181818181818,0,0,0,0,1,3,0
4100,16.5,91.9934571794492,98.3753333502432,9.0595041322314,68.0994281404528,87.6199747474821,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
4110,33.1,12.5608811305813,13.4322690578233,9.0595041322314,67.9391573837161,87.7849015151589,123.181818181818,0,0,0,0,1,3,3.5527136788005e-15
4120,3.94,-14.1795787798703,-12.2817066128155,9.0595041322314,67.9417504765246,87.9498282828357,123.181818181818,12.2817066128155,9.0595041322314,3.2222024805841,0,1,6,-1.77635683940025e-15
4130,0,0,-0,9.96545454545455,67.92937940835,88.1147550505126,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4140,0,0,-0,9.96545454545455,67.9151544247006,88.2796818181894,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4150,0,0,-0,9.96545454545455,67.9009294410511,88.4446085858662,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4160,0,0,-0,9.96545454545455,67.8867044574016,88.6095353535431,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4170,0,0,-0,9.96545454545455,67.8724794737522,88.7744621212199,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4180,28.8,250.323230959931,267.688942735966,9.0595041322314,67.7263156653265,88.9393888888967,123.181818181818,0,0,0,0,1,3,0
4190,46.6,-9.05442156393302,-7.84252839406224,9.0595041322314,67.4470423671878,89.1043156565736,123.181818181818,7.84252839406224,7.84252839406224,0,0,1,3,6.21724893790088e-15
4200,46.6,-3.1546559564229,-2.73241959600095,9.0595041322314,67.4405442059547,89.2692424242504,123.181818181818,2.73241959600095,2.73241959600095,0,0,1,3,-7.105427357601e-15
4210,46.6,29.5774163220395,31.6292949469624,9.0595041322314,67.4140665214372,89.4341691919272,123.181818181818,0,0,0,0,1,3,0
4220,32.56,-236.21732311316,-204.600708129568,9.0595041322314,67.4218892635284,89.5990959596041,123.181818181818,204.600708129568,9.0595041322314,195.541203997337,0,1,6,0
4230,0,-0,-0,9.96545454545455,67.5220653266958,89.7640227272809,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4240,0,-0,-0,9.96545454545455,67.5078403430463,89.9289494949577,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4250,0,-0,-0,9.96545454545455,67.4936153593969,90.0938762626346,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4260,0,-0,-0,9.0595041322314,67.4793903757474,90.2588030303114,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4270,29.9,23.7832287637338,25.4331463292378,9.0595041322314,67.3604678806527,90.4237297979882,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
4280,25.22,-132.922494675747,-115.131422956556,9.0595041322314,67.3344551226007,90.588656565665,123.181818181818,115.131422956556,9.0595041322314,106.071918824325,0,1,6,0
4290,26.9,0.231071669434092,0.247101839688813,9.0595041322314,67.3153904874985,90.7535833333419,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4300,0,-0,-0,9.0595041322314,67.3481485406484,90.9185101010187,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4310,0,-0,-0,9.96545454545455,67.3340528750321,91.0834368686955,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4320,0,-0,-0,9.96545454545455,67.3198278913826,91.2483636363724,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4330,0,-0,-0,9.96545454545455,67.3056029077332,91.4132904040492,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4340,0,-0,-0,9.0595041322314,67.2913779240837,91.578217171726,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4350,31.6,43.7113183459458,46.7437103170598,9.0595041322314,67.1513780133305,91.7431439394029,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
4360,37.3,23.2042382346966,24.8139894017015,9.0595041322314,67.0589584089951,91.9080707070797,123.181818181818,0,0,0,0,1,3,0
4370,37.3,27.7409289681493,29.6654046750702,9.0595041322314,67.0076693857674,92.0729974747565,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
4380,37.3,34.1063018227603,36.4723635139955,9.0595041322314,66.9484374865571,92.2379242424334,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
4390,25.72,-92.2730626939504,-79.9227326753773,9.0595041322314,66.9223512659582,92.4028510101102,123.181818181818,79.9227326753773,9.0595041322314,70.8632285431459,0,1,6,0
4400,0,0,-0,9.96545454545455,66.9495811357251,92.567777777787,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4410,0,0,-0,9.0595041322314,66.9353561520756,92.7327045454639,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4420,30.5,85.5847997180974,91.5220871149354,9.0595041322314,66.756358659661,92.8976313131407,123.181818181818,0,0,0,0,1,3,0
4430,37.2,169.00098434763,180.725115475184,9.0595041322314,66.5898884136779,93.0625580808175,123.181818181818,0,0,0,0,1,3,-2.8421709430404e-14
4440,37.2,92.7522341553966,99.1867490773607,9.0595041322314,66.4316371982305,93.2274848484944,123.181818181818,0,0,0,0,1,3,-1.4210854715202e-14
4450,32.52,-197.266695792429,-170.863445227411,9.0595041322314,66.3173095309219,93.3924116161712,123.181818181818,170.863445227411,9.0595041322314,161.80394109518,0,1,6,0
4460,0,-0,-0,9.96545454545455,66.436788468215,93.557338383848,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4470,0,-0,-0,9.96545454545455,66.4225634845656,93.7222651515249,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
4480,18,48.1966217391513,51.5401733483691,9.0595041322314,66.3965436745663,93.8871919192017,123.181818181818,0,0,0,0,1,3,0
4490,25.7,37.6054774755269,40.2142880143487,9.0595041322314,66.3432990411922,94.0521186868785,123.181818181818,0,0,0,0,1,3,7.105427357601e-15
4500,0,-0,-0,9.0595041322314,66.3310395144356,94.2170454545553,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4510,0,0,-0,9.0595041322314,66.3169438488193,94.3819722222322,123.181818181818,0,0,0,0,1,3,5.32907051820075e-15
4520,25.6,52.6740241923209,56.3281873265214,9.0595041322314,66.1828094853061,94.546898989909,123.181818181818,0,0,0,0,1,3,0
4530,25.6,108.342255941157,115.858299828193,9.0595041322314,66.0479896945088,94.7118257575858,123.181818181818,0,0,0,0,1,3,0
