Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
89,BAT-05,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
90,BAT-06,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
91,BAT-07,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
92,BAT-08,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
93,BAT-09,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
94,BAT-10,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
95,BAT-11,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
96,BAT-12,fixed,MOT-08,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
97,BAT-01,fixed,MOT-09,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
98,BAT-02,fixed,MOT-09,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
99,BAT-03,fixed,MOT-09,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
100,BAT-04,fixed,MOT-09,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
